Менеджер активных продаж
Сборщик-комплектовщик
Кладовщик
Кассир-операционист
Супервайзер
Подборщик
Координатор отдела доставки
Системный администратор поддержки
Тестировщик учеткозаводителя
Backend-разработчик
Net Разработчик
Outsource (claim-clients)
Outsourse
Product owner
PR-специалист
ScrumMaster
UX дизайнер
UX/UI-дизайнер
Web-разработчик
Администратор розничной сети
Администратор СТО
Акита аналитик
Акита Тех специалист
Аналитик
Ассистент генерального директора/ Менеджер ВЭД
Ассистент категорийного менеджера
Ассистент менеджера по работе с маркетплейсами
Ассортимент менеджер
Аутсорс разработчик
Аутсорсер
Бизнес аналитик
Бренд менеджер
бренд-менеджер УК
Бухгалтер
Бухгалтер - ревизор
Бухгалтер - товаровед
Бухгалтер Акита
Бухгалтер по ВЭД
Бухгалтер по импорту
Бухгалтер по работе с клиентами
Бухгалтер по расчету заработной платы
Бухгалтер по сверкам и расчетам с контрагентами
Бухгалтер склада Автоюнион
Бухгалтер ЭДО
Бухгалтер-казначей
Бэкенд - разработчик
Веб разработчик
Ведущий бухгалтер
Ведущий бухгалтер по расчету заработной платы
Ведущий логист по международным перевозкам
Ведущий специалист консультационного центра
Ведущий специалист контактного центра
Ведущий специалист отдела кадров
Ведущий специалист по продажам
Ведущий специалист поддержки 1С
Ведущий юрист
Водитель
Водитель-экспедитор
Главный бухгалтер ЛДЦ
Главный бухгалтер СТО
Главный бухгалтер Redlight
Главный бухгалтер обособленного подразделения
Главный бухгалтер Партерры
Главный бухгалтер УК
Графический дизайнер
Директор Fit
Директор ИТ
Директор ЛДЦ
Директор ОП
Директор СТО
Директор филиала
Диспетчер
Заместитель главного бухгалтера по расчету заработной платы
Инженер по телефонии
Кладовщик
Начальник отдела нормативно-справочной информации
Начальник отдела поддержки инфраструктуры
Начальник отдела продаж
Начальник отдела продаж обособленного подразделения
Начальник отдела продаж региона по направлению масла и автохимия
Начальник отдела рекламы
Начальник отдела транспортной логистики региона
Начальник участка возвратов
Начальник участка приемки
Начальника склада
Оператор 1С
Оператор БД Акита
Оператор подборщик
Подборщик запчастей
Продавец
Продавец-консультант
Разработчик Node Js
Разработчик PHP
Разработчик аналитических систем
Разработчик приложений
Руководитель ассортиментной политики Мини-ЛДЦ
Руководитель буферного склада
Руководитель ВЭД
Руководитель группы автоматизации
Руководитель группы аналитики и ценообразования
Руководитель группы открытий и переездов
Руководитель клиентского отдела
Руководитель кузовного цеха
Руководитель ЛДЦ
Руководитель направления интернет-продаж
Руководитель отдела Franch Shop
Руководитель отдела закупок
Руководитель отдела информации
Руководитель отдела клиентских отношений
Руководитель отдела логистики
Руководитель отдела маркетинга
Руководитель отдела развития
Руководитель по доставке
Руководитель по закупу и материальным ценностям
Руководитель по складской логистике
Руководитель проектов
Руководитель ревизионного отдела
Руководитель розничной сети
Руководитель сети розничных магазинов
Сервис-менеджер
Системный архитектор
Сотрудник приемки
Сотрудник склада
Сотрудник службы безопасности
Специалист группы складского учета
Специалист по продажам
Специалист по охране труда
Специалист по управлению товарными запасами
Специалист по ценообразованию
Специалист технической поддержки
Специалист технической поддержки 1С
Старший бухгалтер
Старший кладовщик
Старший смены
Старший специалист по информационным технологиям
